yr,ct
2000,87682
2001,171078
2002,296531
2003,304708
2004,728339
2005,691704
2006,737218
2007,613130
2008,795585
2009,557682
2010,756460
2011,861053
2012,925914
2013,834781
2014,1078436
2015,995455
2016,722351
