YY,Catch
1994,1186
1995,3930
1996,5585
1997,5998
1998,6332
1999,6828
2000,8159
2001,15156
2002,4429
2003,2645
2004,3764
2005,12707
2006,2517
2007,3743
2008,6160
2009,15199
2010,16977
2011,28814
2012,23079
2013,11955
2014,35975
2015,34218
2016,27586
2017,25267
2018,28175
2019,44288
2020,38109
