yr,ct
1979,6
1980,8
1981,32
1982,108
1983,1252
1984,978
1985,1233
1986,2026
1987,1495
1988,4107
1989,3048
1990,2509
1991,2406
1992,3259
1993,3509
1994,3250
1995,3109
1996,3019
1997,3855
1998,4458
1999,2006
2000,1248
2001,1521
2002,696
2003,368
2004,1234
2005,1358
2006,1922
2007,1340
2008,1008
2009,1205
2010,1337
2011,2365
2012,1089
2013,1297
2014,1733
2015,1133
2016,2577
2017,2436
2018,1897
2019,2033
